DATE,IPC
Ene92,15.1238268341993
Feb92,16.0219013391802
Mar92,16.8756030414181
Abr92,17.4179407287636
May92,17.9362564631715
Jun92,19.0226540109002
Jul92,19.5620220839908
Ago92,20.1328083826993
Sep92,20.7910685740194
Oct92,21.4431186649363
Nov92,22.0019615039685
Dic92,22.683660958514
Ene93,23.8811507855097
Feb93,24.4388206927135
Mar93,25.3027578617159
Abr93,25.9852950782976
May93,26.7352109898103
Jun93,27.5643738517802
Jul93,28.2655412895987
Ago93,29.6352378839872
Sep93,30.312983072732
Oct93,30.7589087947483
Nov93,31.2422255643453
Dic93,32.5972214618023
Ene94,33.4020670123581
Feb94,34.2132400879547
Mar94,34.8943713628005
Abr94,35.4937168498633
May94,36.0975208544006
Jun94,36.3781946784278
Jul94,36.7772821001663
Ago94,37.1512733981918
Sep94,37.4880597846561
Oct94,37.931385850252
Nov94,38.2588593378376
Dic94,38.5514071804102
Ene95,38.9547523478023
Feb95,39.2331136289866
Mar95,39.9396130469245
Abr95,40.5116221974002
May95,40.8655798495924
Jun95,41.245961731869
Jul95,41.551462166083
Ago95,41.8809678581846
Sep95,42.1470208983154
Oct95,42.3693070935977
Nov95,42.5843772535184
Dic95,42.8895027769549
Ene96,43.133307953467
Feb96,43.3099193470592
Mar96,44.031720309651
Abr96,44.3552792786772
May96,44.7458615259878
Jun96,45.8721204230663
Jul96,46.0144529066568
Ago96,46.3050002837611
Sep96,46.6375007751178
Oct96,46.8136081330771
Nov96,47.1687672945426
Dic96,48.0433234597571
Ene97,48.5922965365888
Feb97,49.2364261565564
Mar97,49.8020717948477
Abr97,50.1566795582816
May97,50.4264312527678
Jun97,50.7074141175051
Jul97,50.9005713407489
Ago97,51.1908051289185
Sep97,51.3772265216687
Oct97,51.6550084859337
Nov97,51.8512184401245
Dic97,52.3780568245429
Ene98,52.5832716171131
Feb98,52.7643714704512
Mar98,53.3090044564829
Abr98,53.5694604576063
May98,53.8735051212485
Jun98,54.2277778580302
Jul98,54.4798983761063
Ago98,54.6904426849137
Sep98,54.9747325418965
Oct98,55.469620950097
Nov98,55.8007638855404
Dic98,56.1649548071699
Ene99,56.6680800849181
Feb99,57.2626875807631
Mar99,57.8163121437026
Abr99,58.2926843467536
May99,58.539506059369
Jun99,58.7103885969199
Jul99,58.9047947915461
Ago99,59.1608887656007
Sep99,59.4050823137824
Oct99,59.6862045735375
Nov99,60.132078283399
Dic99,60.77551481698
Ene00,61.0495367053367
Feb00,61.1531048104888
Mar00,61.4697817737023
Abr00,61.8459917764773
May00,62.0308058389797
Jun00,62.1395189962897
Jul00,62.3366562563927
Ago00,62.4704385806317
Sep00,62.7371856045418
Oct00,62.8951317260663
Nov00,63.2576265752694
Dic00,63.5176800458586
Ene01,63.5615126995136
Feb01,63.6424485577899
Mar01,63.9109524774176
Abr01,64.1564083581636
May01,64.2268826103856
Jun01,64.332311309981
Jul01,64.4008143890226
Ago01,64.3803666953973
Sep01,64.3439933702681
Oct01,64.3531754935842
Nov01,64.3609590800483
Dic01,64.5679696553581
Ene02,64.5594536802729
Feb02,64.5986494843548
Mar02,64.7525131370703
Abr02,64.8454425818171
May02,64.9171636915604
Jun02,64.9615569605348
Jul02,65.1246675254272
Ago02,65.2066538375706
Sep02,65.2055699861961
Oct02,65.2415825871422
Nov02,65.26874861741
Dic02,65.2499437263168
Ene03,65.1770383310948
Feb03,65.3257366020345
Mar03,66.5919539910571
Abr03,66.7677959735749
May03,66.8049217191759
Jun03,66.8349989435474
Jul03,66.9615793928735
Ago03,67.0134926653997
Sep03,67.0019957503051
Oct03,66.9546592041105
Nov03,66.9586681987698
Dic03,67.1138570236935
Ene04,67.0189161070265
Feb04,67.1200825432357
Mar04,67.2983726070435
Abr04,67.2249915447446
May04,67.2565069296915
Jun04,67.2357937906185
Jul04,67.298134076046
Ago04,67.3365625356735
Sep04,67.313653934981
Oct04,67.499897821874
Nov04,67.7401264346924
Dic04,67.8448736257
Ene05,67.8076474459948
Feb05,67.7806348567196
Mar05,68.0577116264342
Abr05,68.0327119039972
May05,68.154046066297
Jun05,68.0635256451329
Jul05,68.2106532382764
Ago05,68.2389728658244
Sep05,68.2578754011857
Oct05,68.3721777812734
Nov05,68.5715297136826
Dic05,68.7698591711143
Ene06,68.7556058978266
Feb06,68.7507446081997
Mar06,69.0180123137376
Abr06,69.1630419500379
May06,69.1132419784542
Jun06,69.0059434822163
Jul06,69.2422956175962
Ago06,69.3262403947715
Sep06,69.3516669621513
Oct06,69.371481773959
Nov06,69.4640903875396
Dic06,69.650264528527
Ene07,69.5320187149313
Feb07,69.6483060634951
Mar07,69.8162988417861
Abr07,69.9215621524958
May07,69.9589278240124
Jun07,69.9908547098028
Jul07,70.1461760519474
Ago07,70.1824397381539
Sep07,70.2583721056831
Oct07,70.321892491835
Nov07,70.4023499737255
Dic07,70.6850942957369
Ene08,70.6202166542603
Feb08,70.6567537444172
Mar08,70.9719564160205
Abr08,71.0512031089882
May08,71.2330027867704
Jun08,71.4499089266919
Jul08,71.680296252725
Ago08,72.0355061522772
Sep08,72.6629640335091
Oct08,73.0393808926754
Nov08,73.4017349853107
Dic08,73.6907321672593
Ene09,73.6853009140911
Feb09,73.9412098014277
Mar09,74.3518722992363
Abr09,74.4506910882599
May09,74.4590482421535
Jun09,74.5323512127516
Jul09,74.6563971656107
Ago09,74.6546872164001
Sep09,74.6851529394155
Oct09,74.6590754530267
Nov09,74.7095316261743
Dic09,74.9477461380294
Ene10,74.9076072497429
Feb10,74.9057056418306
Mar10,75.1072925881175
Abr10,75.1804246696722
May10,75.3103635211779
Jun10,75.3467870976354
Jul10,75.4886975882212
Ago10,75.5113150408334
Sep10,75.5185875430052
Oct10,75.6344487208232
Nov10,75.6278399924371
Dic10,75.9836473797548
Ene11,75.9474709798856
Feb11,76.079091983318
Mar11,76.3357028754927
Abr11,76.5756256389816
May11,76.6637485964748
Jun11,76.8622972311827
Jul11,77.0170114955367
Ago11,77.1206513408828
Sep11,77.3160767550121
Oct11,77.3975484633878
Nov11,77.50463447493
Dic11,77.8232425804841
Ene12,77.7192087891714
Feb12,77.7746978138381
Mar12,78.2193437255997
Abr12,78.4714384127355
May12,78.6512779256129
Jun12,78.7546607920837
Jul12,78.8807327738324
Ago12,78.999906992192
Sep12,78.9713611428967
Oct12,78.9388904049024
Nov12,78.9923077029659
Dic12,79.3089508473671
Ene13,79.3446024274919
Feb13,79.4846480992082
Mar13,80.2426641187573
Abr13,80.3626902088423
May13,80.4832649620725
Jun13,80.6080634412916
Jul13,80.8337278511
Ago13,80.9450701746124
Sep13,81.0085888618897
Oct13,81.1153026514527
Nov13,81.2720287689812
Dic13,81.6635591341627
Ene14,81.6865886802188
Feb14,81.8393247370862
Mar14,82.4752898319688
Abr14,82.6366044795186
May14,82.7550668399008
Jun14,82.8440350459525
Jul14,83.039831887281
Ago14,83.0142855378067
Sep14,83.0922179582598
Oct14,83.1923848798155
Nov14,83.3004834411118
Dic14,83.711279803996
Ene15,83.714672984857
Feb15,83.8459513056346
Mar15,84.6071331989571
Abr15,84.8980275899038
May15,85.1078656775022
Jun15,85.3279366904088
Jul15,85.8317040364862
Ago15,85.9054429325912
Sep15,85.9546292191822
Oct15,86.0739843824612
Nov15,86.179030326138
Dic15,86.6322552259721
Ene16,86.5746636107445
Feb16,87.0248520534863
Mar16,87.6380216650306
Abr16,87.6612193070624
May16,87.9440522441975
Jun16,88.1271673104919
Jul16,88.293999850841
Ago16,88.4456383164914
Sep16,88.5437341737606
Oct16,88.6537976962098
Nov16,88.7824316513749
Dic16,89.1163550355817
Ene17,89.1540065471806
Feb17,89.278821186927
Mar17,90.0258126802613
Abr17,90.1047991114932
May17,90.1758198599067
Jun17,90.2256352148888
Jul17,90.3758885114158
Ago17,90.7218124117104
Sep17,90.7148209967415
Oct17,90.7346444001695
Nov17,90.7617796473807
Dic17,91.0294257953006
Ene18,90.9114224203837
Feb18,91.0346929350014
Mar18,91.812912588691
Abr18,91.8230276931589
May18,91.9779602570937
Jun18,92.2337073161034
Jul18,92.4844482676661
Ago18,92.5694986055757
Sep18,92.6095810843498
Oct18,92.6630058930848
Nov18,92.7240658356247
Dic18,93.0429780770024
Ene19,93.0935101911053
Feb19,93.2098493125415
Mar19,94.161443926469
Abr19,94.2017575537676
May19,94.3356219562889
Jun19,94.3572650085883
Jul19,94.4730135925691
Ago19,94.6055519046158
Sep19,94.6115368631441
Oct19,94.8275882760652
Nov19,94.8644754742051
Dic19,95.1834845462826
Ene20,95.2481613605223
Feb20,95.390492554669
Mar20,95.7944600350997
Abr20,95.9676249853122
May20,96.0893715092285
Jun20,96.155934866325
Jul20,96.1838527069359
Ago20,96.2943833017373
Sep20,96.3395954166446
Oct20,96.4187380221517
Nov20,96.5284151490446
Dic20,96.8607154997127
Ene21,96.857200147915
Feb21,96.8885309064241
Mar21,97.5093942535544
Abr21,97.6162620979793
May21,97.7807930878342
Jun21,97.9719323857424
Jul21,98.245702048842
Ago21,98.5933179033503
Sep21,98.8182407833937
Oct21,99.1106096237534
Nov21,99.3421838853777
Dic21,100
Ene22,99.844223709158
Feb22,100.049883661396
Mar22,100.882980802909
Abr22,101.339362195607
May22,101.946813832905
Jun22,102.826216079893
Jul22,103.588584755943
Ago22,103.911765101133
Sep22,104.258942379781
Oct22,104.77790250389
Nov22,105.015734842783
Dic22,105.586
Ene23,105.636971194413
Feb23,105.926701503419
Mar23,106.8536
Abr23,107.071126189529
May23,107.152162461555
Jun23,107.302921062344
Jul23,107.613955454644
Ago23,107.875804814198
Sep23,108.019896631328
Oct23,108.25713384774
Nov23,108.260800767088
Dic23,108.648209650107
Ene24,108.658069231465
Feb24,109.21269495061
